[INFO ] 2018-08-17 22:40:14,548 Main.main() - Application started at 2018-08-17T22:40:14.543391800
[DEBUG] 2018-08-17 22:40:20,193 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-17 22:40:20,197 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-17 22:40:20,234 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-17 22:40:20,421 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-17 22:40:20,587 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-17 22:40:20,718 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-17 22:40:20,851 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-17 22:40:23,272 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-17 22:40:23,272 EU4Preloader.changeState() - loaded
