[INFO ] 2018-07-20 10:08:42,356 Main.main() - Application started at 2018-07-20T10:08:42.340552600
[DEBUG] 2018-07-20 10:08:44,812 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-20 10:08:44,816 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-20 10:08:44,828 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-20 10:08:45,164 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\dwarfs\map\terrain.bmp
[DEBUG] 2018-07-20 10:08:45,480 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\dwarfs\map\rivers.bmp
[DEBUG] 2018-07-20 10:08:45,715 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\dwarfs\map\heightmap.bmp
[DEBUG] 2018-07-20 10:08:45,958 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-20 10:08:47,711 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-20 10:08:47,711 EU4Preloader.changeState() - loaded
[DEBUG] 2018-07-20 10:09:28,033 RivermapProducer.createRivermap() - creating new rivermap
[DEBUG] 2018-07-20 10:09:47,229 MainViewModel.save() - Saving to C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\dwarfs\map
