[INFO ] 2018-08-23 10:57:43,991 Main.main() - Application started at 2018-08-23T10:57:43.984548400
[DEBUG] 2018-08-23 10:57:50,277 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-23 10:57:50,290 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-23 10:57:50,311 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-23 10:57:50,595 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-23 10:57:50,817 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-23 10:57:50,981 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-23 10:57:51,147 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-23 10:57:55,075 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-23 10:57:55,076 EU4Preloader.changeState() - loaded
[ERROR] 2018-08-23 10:58:49,717 ProvinceMapLayer.lambda$new$0() - null MouseX: 758.6666666666666 MouseY: 302.00000000000006
[ERROR] 2018-08-23 10:58:53,721 ProvinceMapLayer.lambda$new$0() - null MouseX: 746.6666666666666 MouseY: 304.6666666666667
[ERROR] 2018-08-23 10:58:53,735 ProvinceMapLayer.lambda$new$0() - null MouseX: 740.6666666666666 MouseY: 299.33333333333337
[ERROR] 2018-08-23 10:58:53,741 ProvinceMapLayer.lambda$new$0() - null MouseX: 733.3333333333334 MouseY: 293.33333333333337
[ERROR] 2018-08-23 10:58:53,756 ProvinceMapLayer.lambda$new$0() - null MouseX: 724.6666666666666 MouseY: 285.33333333333337
[ERROR] 2018-08-23 10:58:53,772 ProvinceMapLayer.lambda$new$0() - null MouseX: 714.6666666666666 MouseY: 278.6666666666667
[ERROR] 2018-08-23 10:58:53,783 ProvinceMapLayer.lambda$new$0() - null MouseX: 706.0 MouseY: 270.00000000000006
[ERROR] 2018-08-23 10:58:53,798 ProvinceMapLayer.lambda$new$0() - null MouseX: 696.0 MouseY: 263.33333333333337
[ERROR] 2018-08-23 10:58:53,805 ProvinceMapLayer.lambda$new$0() - null MouseX: 687.3333333333334 MouseY: 256.00000000000006
[ERROR] 2018-08-23 10:58:53,820 ProvinceMapLayer.lambda$new$0() - null MouseX: 680.0 MouseY: 249.33333333333331
[ERROR] 2018-08-23 10:58:53,831 ProvinceMapLayer.lambda$new$0() - null MouseX: 674.0 MouseY: 245.33333333333331
[ERROR] 2018-08-23 10:58:53,845 ProvinceMapLayer.lambda$new$0() - null MouseX: 669.3333333333334 MouseY: 242.66666666666663
[ERROR] 2018-08-23 10:58:53,858 ProvinceMapLayer.lambda$new$0() - null MouseX: 666.6666666666666 MouseY: 240.0
[ERROR] 2018-08-23 10:58:53,869 ProvinceMapLayer.lambda$new$0() - null MouseX: 665.3333333333334 MouseY: 238.66666666666663
[ERROR] 2018-08-23 10:58:53,879 ProvinceMapLayer.lambda$new$0() - null MouseX: 664.6666666666666 MouseY: 238.0
[ERROR] 2018-08-23 10:58:53,907 ProvinceMapLayer.lambda$new$0() - null MouseX: 664.6666666666666 MouseY: 237.33333333333331
[ERROR] 2018-08-23 10:58:54,030 ProvinceMapLayer.lambda$new$0() - null MouseX: 665.3333333333334 MouseY: 237.33333333333331
[ERROR] 2018-08-23 10:58:54,102 ProvinceMapLayer.lambda$new$0() - null MouseX: 666.0 MouseY: 237.33333333333331
[ERROR] 2018-08-23 10:58:54,145 ProvinceMapLayer.lambda$new$0() - null MouseX: 666.6666666666666 MouseY: 237.33333333333331
[ERROR] 2018-08-23 10:58:54,253 ProvinceMapLayer.lambda$new$0() - null MouseX: 667.3333333333334 MouseY: 238.0
[ERROR] 2018-08-23 10:58:54,335 ProvinceMapLayer.lambda$new$0() - null MouseX: 668.0 MouseY: 238.66666666666663
[ERROR] 2018-08-23 10:58:54,397 ProvinceMapLayer.lambda$new$0() - null MouseX: 668.6666666666666 MouseY: 239.33333333333331
[ERROR] 2018-08-23 10:58:55,128 ProvinceMapLayer.lambda$new$0() - null MouseX: 669.3333333333334 MouseY: 239.33333333333331
[ERROR] 2018-08-23 10:58:55,157 ProvinceMapLayer.lambda$new$0() - null MouseX: 670.0 MouseY: 240.0
[ERROR] 2018-08-23 10:58:55,170 ProvinceMapLayer.lambda$new$0() - null MouseX: 670.6666666666666 MouseY: 240.0
[ERROR] 2018-08-23 10:58:55,197 ProvinceMapLayer.lambda$new$0() - null MouseX: 670.6666666666666 MouseY: 240.66666666666663
[ERROR] 2018-08-23 10:58:55,220 ProvinceMapLayer.lambda$new$0() - null MouseX: 672.0 MouseY: 242.0
[ERROR] 2018-08-23 10:58:55,233 ProvinceMapLayer.lambda$new$0() - null MouseX: 674.6666666666666 MouseY: 243.33333333333331
[ERROR] 2018-08-23 10:58:55,260 ProvinceMapLayer.lambda$new$0() - null MouseX: 687.3333333333334 MouseY: 252.0
[ERROR] 2018-08-23 10:58:55,298 ProvinceMapLayer.lambda$new$0() - null MouseX: 704.6666666666666 MouseY: 267.33333333333337
[ERROR] 2018-08-23 10:58:55,346 ProvinceMapLayer.lambda$new$0() - null MouseX: 730.6666666666666 MouseY: 289.33333333333337
[ERROR] 2018-08-23 10:58:55,382 ProvinceMapLayer.lambda$new$0() - null MouseX: 746.0 MouseY: 302.00000000000006
[ERROR] 2018-08-23 10:58:57,331 ProvinceMapLayer.lambda$new$0() - null MouseX: 762.0 MouseY: 312.6666666666667
[ERROR] 2018-08-23 10:58:57,344 ProvinceMapLayer.lambda$new$0() - null MouseX: 762.0 MouseY: 313.33333333333337
[ERROR] 2018-08-23 10:58:57,359 ProvinceMapLayer.lambda$new$0() - null MouseX: 762.6666666666666 MouseY: 313.33333333333337
[ERROR] 2018-08-23 10:58:57,388 ProvinceMapLayer.lambda$new$0() - null MouseX: 763.3333333333334 MouseY: 314.00000000000006
[ERROR] 2018-08-23 10:58:57,399 ProvinceMapLayer.lambda$new$0() - null MouseX: 764.0 MouseY: 314.00000000000006
[ERROR] 2018-08-23 10:58:57,406 ProvinceMapLayer.lambda$new$0() - null MouseX: 764.6666666666666 MouseY: 314.00000000000006
[ERROR] 2018-08-23 10:58:57,433 ProvinceMapLayer.lambda$new$0() - null MouseX: 764.6666666666666 MouseY: 314.6666666666667
[ERROR] 2018-08-23 10:59:03,130 ProvinceMapLayer.lambda$new$0() - null MouseX: 726.0 MouseY: 316.6666666666667
[ERROR] 2018-08-23 10:59:03,134 ProvinceMapLayer.lambda$new$0() - null MouseX: 724.6666666666666 MouseY: 316.00000000000006
[ERROR] 2018-08-23 10:59:03,144 ProvinceMapLayer.lambda$new$0() - null MouseX: 724.0 MouseY: 316.00000000000006
[ERROR] 2018-08-23 10:59:03,170 ProvinceMapLayer.lambda$new$0() - null MouseX: 723.3333333333334 MouseY: 316.00000000000006
[ERROR] 2018-08-23 10:59:03,180 ProvinceMapLayer.lambda$new$0() - null MouseX: 722.0 MouseY: 314.6666666666667
[ERROR] 2018-08-23 10:59:03,194 ProvinceMapLayer.lambda$new$0() - null MouseX: 719.3333333333334 MouseY: 312.6666666666667
[ERROR] 2018-08-23 10:59:03,205 ProvinceMapLayer.lambda$new$0() - null MouseX: 715.3333333333334 MouseY: 310.00000000000006
[ERROR] 2018-08-23 10:59:03,218 ProvinceMapLayer.lambda$new$0() - null MouseX: 709.3333333333334 MouseY: 306.00000000000006
[ERROR] 2018-08-23 10:59:03,233 ProvinceMapLayer.lambda$new$0() - null MouseX: 702.0 MouseY: 300.6666666666667
[ERROR] 2018-08-23 10:59:03,244 ProvinceMapLayer.lambda$new$0() - null MouseX: 694.0 MouseY: 295.33333333333337
[ERROR] 2018-08-23 10:59:03,253 ProvinceMapLayer.lambda$new$0() - null MouseX: 686.6666666666666 MouseY: 290.00000000000006
[ERROR] 2018-08-23 10:59:03,266 ProvinceMapLayer.lambda$new$0() - null MouseX: 678.6666666666666 MouseY: 285.33333333333337
[ERROR] 2018-08-23 10:59:03,281 ProvinceMapLayer.lambda$new$0() - null MouseX: 671.3333333333334 MouseY: 280.00000000000006
[ERROR] 2018-08-23 10:59:03,288 ProvinceMapLayer.lambda$new$0() - null MouseX: 666.6666666666666 MouseY: 274.00000000000006
[ERROR] 2018-08-23 10:59:03,305 ProvinceMapLayer.lambda$new$0() - null MouseX: 662.6666666666666 MouseY: 268.6666666666667
[ERROR] 2018-08-23 10:59:03,317 ProvinceMapLayer.lambda$new$0() - null MouseX: 659.3333333333334 MouseY: 266.00000000000006
[ERROR] 2018-08-23 10:59:03,329 ProvinceMapLayer.lambda$new$0() - null MouseX: 658.0 MouseY: 264.6666666666667
[ERROR] 2018-08-23 10:59:03,343 ProvinceMapLayer.lambda$new$0() - null MouseX: 656.6666666666666 MouseY: 263.33333333333337
[ERROR] 2018-08-23 10:59:03,353 ProvinceMapLayer.lambda$new$0() - null MouseX: 656.0 MouseY: 262.6666666666667
[ERROR] 2018-08-23 10:59:03,364 ProvinceMapLayer.lambda$new$0() - null MouseX: 654.6666666666666 MouseY: 261.33333333333337
[ERROR] 2018-08-23 10:59:03,405 ProvinceMapLayer.lambda$new$0() - null MouseX: 654.0 MouseY: 261.33333333333337
[ERROR] 2018-08-23 10:59:03,646 ProvinceMapLayer.lambda$new$0() - null MouseX: 654.6666666666666 MouseY: 262.00000000000006
[ERROR] 2018-08-23 10:59:03,702 ProvinceMapLayer.lambda$new$0() - null MouseX: 655.3333333333334 MouseY: 262.00000000000006
[ERROR] 2018-08-23 10:59:03,729 ProvinceMapLayer.lambda$new$0() - null MouseX: 655.3333333333334 MouseY: 262.6666666666667
[ERROR] 2018-08-23 10:59:07,428 ProvinceMapLayer.lambda$new$0() - null MouseX: 505.33333333333337 MouseY: 377.33333333333337
[ERROR] 2018-08-23 10:59:08,446 ProvinceMapLayer.lambda$new$0() - null MouseX: 510.0 MouseY: 376.00000000000006
[ERROR] 2018-08-23 10:59:08,453 ProvinceMapLayer.lambda$new$0() - null MouseX: 516.0 MouseY: 373.33333333333337
[ERROR] 2018-08-23 10:59:08,466 ProvinceMapLayer.lambda$new$0() - null MouseX: 524.0 MouseY: 370.00000000000006
[ERROR] 2018-08-23 10:59:08,473 ProvinceMapLayer.lambda$new$0() - null MouseX: 534.0 MouseY: 364.6666666666667
[ERROR] 2018-08-23 10:59:08,486 ProvinceMapLayer.lambda$new$0() - null MouseX: 544.0 MouseY: 359.33333333333337
[ERROR] 2018-08-23 10:59:08,501 ProvinceMapLayer.lambda$new$0() - null MouseX: 556.6666666666666 MouseY: 350.6666666666667
[ERROR] 2018-08-23 10:59:08,514 ProvinceMapLayer.lambda$new$0() - null MouseX: 569.3333333333334 MouseY: 345.33333333333337
[ERROR] 2018-08-23 10:59:08,522 ProvinceMapLayer.lambda$new$0() - null MouseX: 584.0 MouseY: 338.00000000000006
[ERROR] 2018-08-23 10:59:08,534 ProvinceMapLayer.lambda$new$0() - null MouseX: 601.3333333333334 MouseY: 330.00000000000006
[ERROR] 2018-08-23 10:59:08,550 ProvinceMapLayer.lambda$new$0() - null MouseX: 616.6666666666666 MouseY: 323.33333333333337
