[INFO ] 2018-07-27 11:35:47,161 Main.main() - Application started at 2018-07-27T11:35:47.154543100
[DEBUG] 2018-07-27 11:36:08,198 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-27 11:36:08,203 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-27 11:36:08,228 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-27 11:36:08,531 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Desktop\map\terrain.bmp
[DEBUG] 2018-07-27 11:36:08,826 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Desktop\map\rivers.bmp
[DEBUG] 2018-07-27 11:36:09,077 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Desktop\map\heightmap.bmp
[DEBUG] 2018-07-27 11:36:09,319 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-27 11:36:11,729 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-27 11:36:11,730 EU4Preloader.changeState() - loaded
[DEBUG] 2018-07-27 11:36:14,429 MainViewModel.save() - Saving to C:\Users\flose\Desktop\map
