[INFO ] 2018-08-26 20:43:34,371 Main.main() - Application started at 2018-08-26T20:43:34.363297300
[DEBUG] 2018-08-26 20:43:41,175 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-26 20:43:41,181 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-26 20:43:41,273 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-26 20:43:41,591 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-26 20:43:41,774 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-26 20:43:41,989 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-26 20:43:42,149 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-26 20:43:45,836 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-26 20:43:45,837 EU4Preloader.changeState() - loaded
[ERROR] 2018-08-26 20:44:09,418 ProvinceMapLayer.lambda$new$0() - null MouseX: 655.3333333333334 MouseY: 232.66666666666663
[ERROR] 2018-08-26 20:44:12,028 ProvinceMapLayer.lambda$new$0() - null MouseX: 744.6666666666666 MouseY: 173.33333333333331
[ERROR] 2018-08-26 20:44:12,041 ProvinceMapLayer.lambda$new$0() - null MouseX: 740.6666666666666 MouseY: 173.33333333333331
[ERROR] 2018-08-26 20:44:12,048 ProvinceMapLayer.lambda$new$0() - null MouseX: 737.3333333333334 MouseY: 173.99999999999997
[ERROR] 2018-08-26 20:44:12,055 ProvinceMapLayer.lambda$new$0() - null MouseX: 734.6666666666666 MouseY: 173.99999999999997
[ERROR] 2018-08-26 20:44:12,075 ProvinceMapLayer.lambda$new$0() - null MouseX: 730.0 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,089 ProvinceMapLayer.lambda$new$0() - null MouseX: 728.6666666666666 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,096 ProvinceMapLayer.lambda$new$0() - null MouseX: 727.3333333333334 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,109 ProvinceMapLayer.lambda$new$0() - null MouseX: 726.6666666666666 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,116 ProvinceMapLayer.lambda$new$0() - null MouseX: 726.0 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,123 ProvinceMapLayer.lambda$new$0() - null MouseX: 725.3333333333334 MouseY: 175.33333333333331
[ERROR] 2018-08-26 20:44:12,137 ProvinceMapLayer.lambda$new$0() - null MouseX: 724.6666666666666 MouseY: 175.99999999999997
[ERROR] 2018-08-26 20:44:12,144 ProvinceMapLayer.lambda$new$0() - null MouseX: 724.0 MouseY: 176.66666666666666
[ERROR] 2018-08-26 20:44:12,157 ProvinceMapLayer.lambda$new$0() - null MouseX: 722.6666666666666 MouseY: 176.66666666666666
[ERROR] 2018-08-26 20:44:12,164 ProvinceMapLayer.lambda$new$0() - null MouseX: 722.6666666666666 MouseY: 177.99999999999997
[ERROR] 2018-08-26 20:44:12,186 ProvinceMapLayer.lambda$new$0() - null MouseX: 720.6666666666666 MouseY: 181.99999999999997
[ERROR] 2018-08-26 20:44:12,345 ProvinceMapLayer.lambda$new$0() - null MouseX: 723.3333333333334 MouseY: 189.33333333333331
[ERROR] 2018-08-26 20:44:12,661 ProvinceMapLayer.lambda$new$0() - null MouseX: 795.3333333333334 MouseY: 153.33333333333331
[ERROR] 2018-08-26 20:44:21,616 ProvinceMapLayer.lambda$new$0() - null MouseX: 667.3333333333334 MouseY: 206.66666666666666
[ERROR] 2018-08-26 20:44:23,056 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 153.99999999999997
[ERROR] 2018-08-26 20:44:23,070 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 153.33333333333331
[ERROR] 2018-08-26 20:44:23,084 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 152.66666666666666
[ERROR] 2018-08-26 20:44:23,097 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 151.99999999999997
[ERROR] 2018-08-26 20:44:23,125 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 151.33333333333331
[ERROR] 2018-08-26 20:44:23,153 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 150.66666666666666
[ERROR] 2018-08-26 20:44:23,194 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 149.99999999999997
[ERROR] 2018-08-26 20:44:23,215 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 149.33333333333331
[ERROR] 2018-08-26 20:44:23,257 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 148.66666666666666
[ERROR] 2018-08-26 20:44:23,263 ProvinceMapLayer.lambda$new$0() - null MouseX: 660.0 MouseY: 147.99999999999997
[ERROR] 2018-08-26 20:44:23,299 ProvinceMapLayer.lambda$new$0() - null MouseX: 659.3333333333334 MouseY: 147.33333333333331
[ERROR] 2018-08-26 20:44:23,312 ProvinceMapLayer.lambda$new$0() - null MouseX: 659.3333333333334 MouseY: 146.66666666666666
[ERROR] 2018-08-26 20:44:23,381 ProvinceMapLayer.lambda$new$0() - null MouseX: 659.3333333333334 MouseY: 145.99999999999997
[ERROR] 2018-08-26 20:44:23,395 ProvinceMapLayer.lambda$new$0() - null MouseX: 659.3333333333334 MouseY: 145.33333333333331
[ERROR] 2018-08-26 20:44:27,263 ProvinceMapLayer.lambda$new$0() - null MouseX: 587.3333333333334 MouseY: 123.33333333333334
[ERROR] 2018-08-26 20:44:27,269 ProvinceMapLayer.lambda$new$0() - null MouseX: 578.0 MouseY: 145.99999999999997
[ERROR] 2018-08-26 20:44:27,279 ProvinceMapLayer.lambda$new$0() - null MouseX: 572.6666666666666 MouseY: 167.99999999999997
