[INFO ] 2018-07-18 17:00:21,266 Main.main() - Application started at 2018-07-18T17:00:21.266163300
[DEBUG] 2018-07-18 17:00:23,492 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-18 17:00:23,497 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-18 17:00:23,550 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-18 17:00:23,890 FileProvider.loadTerrain() - reading terrain map image from D:\Programme\SteamLibrary\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-07-18 17:00:24,169 FileProvider.loadRivers() - reading river map image from D:\Programme\SteamLibrary\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-07-18 17:00:24,459 FileProvider.loadHeightmap() - reading heightmap image from D:\Programme\SteamLibrary\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-07-18 17:00:24,715 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-18 17:00:27,023 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-18 17:00:27,024 EU4Preloader.changeState() - loaded
