[INFO ] 2018-07-26 23:23:38,640 Main.main() - Application started at 2018-07-26T23:23:38.640171900
[DEBUG] 2018-07-26 23:23:41,157 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-26 23:23:41,162 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-26 23:23:41,181 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-26 23:23:41,509 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\terrain.bmp
[DEBUG] 2018-07-26 23:23:41,821 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\rivers.bmp
[DEBUG] 2018-07-26 23:23:42,082 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\heightmap.bmp
[DEBUG] 2018-07-26 23:23:42,273 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-26 23:23:44,867 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-26 23:23:44,868 EU4Preloader.changeState() - loaded
