[INFO ] 2018-08-18 15:47:29,618 Main.main() - Application started at 2018-08-18T15:47:29.612880
[DEBUG] 2018-08-18 15:47:35,463 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-18 15:47:35,481 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-18 15:47:35,574 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-18 15:47:35,864 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-18 15:47:36,032 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-18 15:47:36,182 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-18 15:47:36,387 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-18 15:47:39,837 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-18 15:47:39,838 EU4Preloader.changeState() - loaded
