[INFO ] 2018-08-21 21:44:37,678 Main.main() - Application started at 2018-08-21T21:44:37.667154200
[DEBUG] 2018-08-21 21:44:46,633 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-21 21:44:46,640 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-21 21:44:46,642 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-21 21:44:46,923 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-21 21:44:47,114 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-21 21:44:47,266 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-21 21:44:47,446 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-21 21:44:51,207 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-21 21:44:51,208 EU4Preloader.changeState() - loaded
[DEBUG] 2018-08-21 21:45:08,335 MainViewModel.fillRect() - rect: x0=0 y0=0 width=200 height=200 color=0x802240ff
[DEBUG] 2018-08-21 21:45:08,358 MainViewModel.produceDummyProvincemap() - 1
[DEBUG] 2018-08-21 21:45:08,360 MainViewModel.fillRect() - rect: x0=200 y0=0 width=200 height=200 color=0x002480ff
[DEBUG] 2018-08-21 21:45:08,361 MainViewModel.produceDummyProvincemap() - 2
[DEBUG] 2018-08-21 21:45:08,366 MainViewModel.fillRect() - rect: x0=400 y0=0 width=200 height=200 color=0x8026c0ff
[DEBUG] 2018-08-21 21:45:08,367 MainViewModel.produceDummyProvincemap() - 3
[DEBUG] 2018-08-21 21:45:08,368 MainViewModel.fillRect() - rect: x0=600 y0=0 width=200 height=200 color=0x0028ffff
[DEBUG] 2018-08-21 21:45:08,369 MainViewModel.produceDummyProvincemap() - 4
[DEBUG] 2018-08-21 21:45:08,369 MainViewModel.fillRect() - rect: x0=800 y0=0 width=200 height=200 color=0x802a00ff
[DEBUG] 2018-08-21 21:45:08,370 MainViewModel.produceDummyProvincemap() - 5
[DEBUG] 2018-08-21 21:45:08,370 MainViewModel.fillRect() - rect: x0=1000 y0=0 width=200 height=200 color=0x002c40ff
[DEBUG] 2018-08-21 21:45:08,371 MainViewModel.produceDummyProvincemap() - 6
[DEBUG] 2018-08-21 21:45:08,372 MainViewModel.fillRect() - rect: x0=1200 y0=0 width=200 height=200 color=0x812e80ff
[DEBUG] 2018-08-21 21:45:08,373 MainViewModel.produceDummyProvincemap() - 7
[DEBUG] 2018-08-21 21:45:08,373 MainViewModel.fillRect() - rect: x0=1400 y0=0 width=200 height=200 color=0x0130c0ff
[DEBUG] 2018-08-21 21:45:08,374 MainViewModel.produceDummyProvincemap() - 8
[DEBUG] 2018-08-21 21:45:08,375 MainViewModel.fillRect() - rect: x0=1600 y0=0 width=200 height=200 color=0x8132ffff
[DEBUG] 2018-08-21 21:45:08,375 MainViewModel.produceDummyProvincemap() - 9
[DEBUG] 2018-08-21 21:45:08,376 MainViewModel.fillRect() - rect: x0=1800 y0=0 width=200 height=200 color=0x013400ff
[DEBUG] 2018-08-21 21:45:08,376 MainViewModel.produceDummyProvincemap() - 10
[DEBUG] 2018-08-21 21:45:08,377 MainViewModel.fillRect() - rect: x0=2000 y0=0 width=200 height=200 color=0x813640ff
[DEBUG] 2018-08-21 21:45:08,378 MainViewModel.produceDummyProvincemap() - 11
[DEBUG] 2018-08-21 21:45:08,378 MainViewModel.fillRect() - rect: x0=2200 y0=0 width=200 height=200 color=0x013880ff
[DEBUG] 2018-08-21 21:45:08,379 MainViewModel.produceDummyProvincemap() - 12
[DEBUG] 2018-08-21 21:45:08,379 MainViewModel.fillRect() - rect: x0=2400 y0=0 width=200 height=200 color=0x813ac0ff
[DEBUG] 2018-08-21 21:45:08,380 MainViewModel.produceDummyProvincemap() - 13
[DEBUG] 2018-08-21 21:45:08,381 MainViewModel.fillRect() - rect: x0=2600 y0=0 width=200 height=200 color=0x023cffff
[DEBUG] 2018-08-21 21:45:08,382 MainViewModel.produceDummyProvincemap() - 14
[DEBUG] 2018-08-21 21:45:08,382 MainViewModel.fillRect() - rect: x0=2800 y0=0 width=200 height=200 color=0x823e00ff
[DEBUG] 2018-08-21 21:45:08,383 MainViewModel.produceDummyProvincemap() - 15
[DEBUG] 2018-08-21 21:45:08,384 MainViewModel.fillRect() - rect: x0=3000 y0=0 width=200 height=200 color=0x024040ff
[DEBUG] 2018-08-21 21:45:08,386 MainViewModel.produceDummyProvincemap() - 16
[DEBUG] 2018-08-21 21:45:08,387 MainViewModel.fillRect() - rect: x0=3200 y0=0 width=200 height=200 color=0x824280ff
[DEBUG] 2018-08-21 21:45:08,388 MainViewModel.produceDummyProvincemap() - 17
[DEBUG] 2018-08-21 21:45:08,389 MainViewModel.fillRect() - rect: x0=3400 y0=0 width=200 height=200 color=0x0244c0ff
[DEBUG] 2018-08-21 21:45:08,390 MainViewModel.produceDummyProvincemap() - 18
[DEBUG] 2018-08-21 21:45:08,390 MainViewModel.fillRect() - rect: x0=3600 y0=0 width=200 height=200 color=0x8246ffff
[DEBUG] 2018-08-21 21:45:08,391 MainViewModel.produceDummyProvincemap() - 19
[DEBUG] 2018-08-21 21:45:08,392 MainViewModel.fillRect() - rect: x0=3800 y0=0 width=200 height=200 color=0x024800ff
[DEBUG] 2018-08-21 21:45:08,392 MainViewModel.produceDummyProvincemap() - 20
[DEBUG] 2018-08-21 21:45:08,393 MainViewModel.fillRect() - rect: x0=4000 y0=0 width=200 height=200 color=0x834a40ff
[DEBUG] 2018-08-21 21:45:08,394 MainViewModel.produceDummyProvincemap() - 21
[DEBUG] 2018-08-21 21:45:08,395 MainViewModel.fillRect() - rect: x0=4200 y0=0 width=200 height=200 color=0x034c80ff
[DEBUG] 2018-08-21 21:45:08,405 MainViewModel.produceDummyProvincemap() - 22
[DEBUG] 2018-08-21 21:45:08,406 MainViewModel.fillRect() - rect: x0=4400 y0=0 width=200 height=200 color=0x834ec0ff
[DEBUG] 2018-08-21 21:45:08,407 MainViewModel.produceDummyProvincemap() - 23
[DEBUG] 2018-08-21 21:45:08,408 MainViewModel.fillRect() - rect: x0=4600 y0=0 width=200 height=200 color=0x0350ffff
[DEBUG] 2018-08-21 21:45:08,409 MainViewModel.produceDummyProvincemap() - 24
[DEBUG] 2018-08-21 21:45:08,410 MainViewModel.fillRect() - rect: x0=4800 y0=0 width=200 height=200 color=0x835200ff
[DEBUG] 2018-08-21 21:45:08,410 MainViewModel.produceDummyProvincemap() - 25
[DEBUG] 2018-08-21 21:45:08,412 MainViewModel.fillRect() - rect: x0=5000 y0=0 width=200 height=200 color=0x035440ff
[DEBUG] 2018-08-21 21:45:08,412 MainViewModel.produceDummyProvincemap() - 26
[DEBUG] 2018-08-21 21:45:08,413 MainViewModel.fillRect() - rect: x0=5200 y0=0 width=200 height=200 color=0x835680ff
[DEBUG] 2018-08-21 21:45:08,413 MainViewModel.produceDummyProvincemap() - 27
[DEBUG] 2018-08-21 21:45:08,414 MainViewModel.fillRect() - rect: x0=5400 y0=0 width=200 height=200 color=0x0458c0ff
[DEBUG] 2018-08-21 21:45:08,415 MainViewModel.produceDummyProvincemap() - 28
[DEBUG] 2018-08-21 21:45:08,415 MainViewModel.fillRect() - rect: x0=5600 y0=0 width=200 height=200 color=0x845affff
[DEBUG] 2018-08-21 21:45:08,416 MainViewModel.produceDummyProvincemap() - 29
[DEBUG] 2018-08-21 21:45:08,416 MainViewModel.fillRect() - rect: x0=0 y0=200 width=200 height=200 color=0x045c00ff
[DEBUG] 2018-08-21 21:45:08,417 MainViewModel.produceDummyProvincemap() - 30
[DEBUG] 2018-08-21 21:45:08,417 MainViewModel.fillRect() - rect: x0=200 y0=200 width=200 height=200 color=0x845e40ff
[DEBUG] 2018-08-21 21:45:08,418 MainViewModel.produceDummyProvincemap() - 31
[DEBUG] 2018-08-21 21:45:08,418 MainViewModel.fillRect() - rect: x0=400 y0=200 width=200 height=200 color=0x046080ff
[DEBUG] 2018-08-21 21:45:08,419 MainViewModel.produceDummyProvincemap() - 32
[DEBUG] 2018-08-21 21:45:08,419 MainViewModel.fillRect() - rect: x0=600 y0=200 width=200 height=200 color=0x8462c0ff
[DEBUG] 2018-08-21 21:45:08,419 MainViewModel.produceDummyProvincemap() - 33
