[INFO ] 2018-07-17 20:53:48,212 Main.main() - Application started at 2018-07-17T20:53:48.212622500
[DEBUG] 2018-07-17 20:53:50,197 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-17 20:53:50,201 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-17 20:53:50,204 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-17 20:53:50,505 FileProvider.loadTerrain() - reading terrain map image from D:\Programme\SteamLibrary\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-07-17 20:53:50,773 FileProvider.loadRivers() - reading river map image from D:\Programme\SteamLibrary\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-07-17 20:53:51,013 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-17 20:53:53,311 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-17 20:53:53,312 EU4Preloader.changeState() - loaded
[DEBUG] 2018-07-17 20:53:57,786 RivermapProducer.createRivermap() - creating rivermap from existing
