[INFO ] 2018-07-25 14:28:04,644 Main.main() - Application started at 2018-07-25T14:28:04.635212400
[DEBUG] 2018-07-25 14:28:08,800 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-25 14:28:42,763 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-25 14:28:42,765 EU4Preloader.changeState() - loading...
[DEBUG] 2018-07-25 14:28:42,831 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-07-25 14:28:43,118 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\terrain.bmp
[DEBUG] 2018-07-25 14:28:43,387 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\rivers.bmp
[DEBUG] 2018-07-25 14:28:43,621 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\heightmap.bmp
[DEBUG] 2018-07-25 14:28:43,872 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-07-25 14:28:46,621 EU4Preloader.changeState() - changeState
[DEBUG] 2018-07-25 14:28:46,622 EU4Preloader.changeState() - loaded
