[INFO ] 2018-08-30 22:58:01,855 Main.main() - Application started at 2018-08-30T22:58:01.852372600
[DEBUG] 2018-08-30 22:58:17,335 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-30 22:58:17,340 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-30 22:58:17,428 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-30 22:58:17,649 FileProvider.loadTerrain() - reading terrain map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\terrain.bmp
[DEBUG] 2018-08-30 22:58:17,833 FileProvider.loadRivers() - reading river map image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\rivers.bmp
[DEBUG] 2018-08-30 22:58:18,057 FileProvider.loadHeightmap() - reading heightmap image from C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map\heightmap.bmp
[DEBUG] 2018-08-30 22:58:18,258 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-30 22:58:22,584 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-30 22:58:22,584 EU4Preloader.changeState() - loaded
[ERROR] 2018-08-30 22:58:38,267 ProvinceMapLayer.lambda$new$0() - null MouseX: 779.3333333333334 MouseY: 179.33333333333331
[ERROR] 2018-08-30 22:58:38,275 ProvinceMapLayer.lambda$new$0() - null MouseX: 775.3333333333334 MouseY: 186.66666666666666
[ERROR] 2018-08-30 22:58:38,298 ProvinceMapLayer.lambda$new$0() - null MouseX: 771.3333333333334 MouseY: 197.99999999999997
[ERROR] 2018-08-30 22:58:38,305 ProvinceMapLayer.lambda$new$0() - null MouseX: 768.6666666666666 MouseY: 201.33333333333331
[ERROR] 2018-08-30 22:58:38,440 ProvinceMapLayer.lambda$new$0() - null MouseX: 753.3333333333334 MouseY: 251.33333333333331
[ERROR] 2018-08-30 22:58:38,807 ProvinceMapLayer.lambda$new$0() - null MouseX: 88.0 MouseY: 79.33333333333334
[DEBUG] 2018-08-30 22:58:40,903 MainViewModel.save() - Saving to C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map
[ERROR] 2018-08-30 22:58:52,188 ProvinceMapLayer.lambda$new$0() - null MouseX: 690.6666666666666 MouseY: 150.66666666666666
[ERROR] 2018-08-30 22:58:52,500 ProvinceMapLayer.lambda$new$0() - null MouseX: 720.6666666666666 MouseY: 131.33333333333331
[ERROR] 2018-08-30 22:58:52,539 ProvinceMapLayer.lambda$new$0() - null MouseX: 651.3333333333334 MouseY: 189.99999999999997
[ERROR] 2018-08-30 22:58:52,690 ProvinceMapLayer.lambda$new$0() - null MouseX: 478.66666666666663 MouseY: 350.6666666666667
