[INFO ] 2018-08-27 21:13:34,926 Main.main() - Application started at 2018-08-27T21:13:34.920151900
[DEBUG] 2018-08-27 21:13:47,551 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-27 21:13:47,556 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-27 21:13:47,655 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-27 21:13:47,846 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-27 21:13:48,002 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-27 21:13:48,140 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-27 21:13:48,277 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-27 21:13:50,774 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-27 21:13:50,775 EU4Preloader.changeState() - loaded
[ERROR] 2018-08-27 21:14:13,067 ProvinceMapLayer.lambda$new$0() - null MouseX: 557.3333333333334 MouseY: 350.6666666666667
[ERROR] 2018-08-27 21:14:14,130 ProvinceMapLayer.lambda$new$0() - null MouseX: 482.66666666666663 MouseY: 350.6666666666667
[ERROR] 2018-08-27 21:14:14,537 ProvinceMapLayer.lambda$new$0() - null MouseX: 759.3333333333334 MouseY: 202.66666666666666
