[INFO ] 2018-08-15 23:26:16,309 Main.main() - Application started at 2018-08-15T23:26:16.305893100
[DEBUG] 2018-08-15 23:29:48,946 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-15 23:29:48,960 EU4Preloader.changeState() - loading...
[DEBUG] 2018-08-15 23:29:49,053 FileProvider.loadProvinces() - generating provinces
[DEBUG] 2018-08-15 23:29:49,308 FileProvider.loadTerrain() - reading terrain map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\terrain.bmp
[DEBUG] 2018-08-15 23:29:49,473 FileProvider.loadRivers() - reading river map image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\rivers.bmp
[DEBUG] 2018-08-15 23:29:49,617 FileProvider.loadHeightmap() - reading heightmap image from C:\Program Files (x86)\Steam\steamapps\common\Europa Universalis IV\map\heightmap.bmp
[DEBUG] 2018-08-15 23:29:49,770 MapProvider.updateProvinceMap() - updating map
[DEBUG] 2018-08-15 23:29:53,184 EU4Preloader.changeState() - changeState
[DEBUG] 2018-08-15 23:29:53,186 EU4Preloader.changeState() - loaded
[DEBUG] 2018-08-15 23:30:08,842 MainViewModel.save() - Saving to C:\Users\flose\Documents\Paradox Interactive\Europa Universalis IV\mod\test\map
